"Species","n points SDM","predictors","10th percentile threshold","AUC"
"Blackallia nudiflora",9,"bio2 bio3 bio6 bio8 bio9 bio13 bio14 bio18","0.305","0.9"
"Cryptandra alpina",6,"bio1 bio3 bio4 bio5 bio6 bio8 bio9 bio15 bio18","0.01","0.88"
"Cryptandra amara",110,"bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.364","0.94"
"Cryptandra apetala",33,"bio2 bio3 bio6 bio8 bio9 bio12 bio14 bio18","0.501","0.99"
"Cryptandra arbutiflora",50,"bio2 bio3 bio6 bio8 bio9 bio13 bio14 bio18","0.312","0.97"
"Cryptandra aridicola",41,"bio2 bio3 bio6 bio8 bio9 bio13 bio14 bio15 bio18","0.154","0.93"
"Cryptandra armata",38,"bio2 bio3 bio6 bio8 bio9 bio14 bio15 bio18","0.278","0.93"
"Cryptandra beverleyensis",8,"bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.633","1"
"Cryptandra campanulata",10,"bio2 bio3 bio4 bio6 bio8 bio9 bio14 bio15 bio18 bio19","0.028","0.95"
"Cryptandra ciliata",6,"bio2 bio3 bio9 bio13 bio14","0.374","0.95"
"Cryptandra congesta",3,"bio2 bio3 bio6 bio8 bio9 bio11 bio18 bio19","0.632","0.5"
"Cryptandra connata",21,"bio2 bio3 bio6 bio8 bio9 bio12 bio14 bio18","0.435","0.97"
"Cryptandra craigiae",3,"bio1 bio2 bio3 bio6 bio8 bio9 bio11 bio14 bio18 bio19","0.632","0.5"
"Cryptandra crispula",14,"bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.346","0.93"
"Cryptandra debilis",6,"bio1 bio3 bio8 bio9 bio14 bio15 bio18","0.311","1"
"Cryptandra dielsii",13,"bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.484","0.96"
"Cryptandra distigma",15,"bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.706","0.93"
"Cryptandra ericoides",17,"bio2 bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.777","0.98"
"Cryptandra exilis",9,"bio1 bio3 bio5 bio6 bio8 bio9 bio15 bio18","0.341","0.97"
"Cryptandra exserta",4,"bio1 bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.632","0.5"
"Cryptandra filiformis",6,"bio2 bio3 bio8 bio14 bio15","0.774","0.99"
"Cryptandra Floriferous",118,"bio3 bio4 bio6 bio8 bio9 bio15 bio18 bio19","0.416","0.92"
"Cryptandra gemmata",17,"bio1 bio2 bio3 bio8 bio9 bio13 bio15 bio18 bio19","0.582","0.95"
"Cryptandra glabriflora",4,"bio2 bio3 bio6 bio8 bio9 bio13 bio14 bio18 bio19","0.464","0.98"
"Cryptandra graniticola",17,"bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.607","0.96"
"Cryptandra hispidula",15,"bio2 bio3 bio4 bio6 bio8 bio9 bio15 bio18 bio19","0.128","0.99"
"Cryptandra imbricata",13,"bio2 bio3 bio6 bio8 bio9 bio13 bio14 bio18 bio19","0.415","0.98"
"Cryptandra inconspicua",2,NA,NA,"Range estimated from three points or less."
"Cryptandra intermedia",23,"bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.471","0.88"
"Cryptandra intonsa",4,"bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.233","0.98"
"Cryptandra intratropica",26,"bio2 bio3 bio8 bio9 bio14 bio15 bio18 bio19","0.128","0.9"
"Cryptandra lanosiflora",16,"bio2 bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.37","0.9"
"Cryptandra leucopogon",30,"bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.472","0.97"
"Cryptandra longistaminea",78,"bio2 bio3 bio4 bio6 bio8 bio9 bio13 bio15 bio19","0.36","0.92"
"Cryptandra magniflora",29,"bio3 bio4 bio6 bio8 bio9 bio15 bio18 bio19","0.558","0.87"
"Cryptandra micrantha",18,"bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.63","0.96"
"Cryptandra minutifolia",50,"bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.423","0.89"
"Cryptandra monticola",15,"bio2 bio3 bio5 bio8 bio12 bio14 bio19","0.743","0.94"
"Cryptandra multispina",12,"bio2 bio3 bio6 bio8 bio9 bio13 bio14 bio18 bio19","0.286","0.91"
"Cryptandra mutila",33,"bio2 bio3 bio6 bio8 bio9 bio13 bio14 bio18 bio19","0.54","1"
"Cryptandra myriantha",111,"bio2 bio3 bio4 bio6 bio8 bio9 bio13 bio14 bio15 bio18 bio19","0.443","0.94"
"Cryptandra nola",6,"bio2 bio3 bio6 bio8 bio9 bio14 bio18 bio19","0.712","0.97"
"Cryptandra nutans",63,"bio2 bio3 bio6 bio8 bio9 bio13 bio14 bio18 bio19","0.32","0.87"
"Cryptandra orbicularis",5,"bio2 bio3 bio9 bio13 bio14 bio15","0.682","0.97"
"Cryptandra pendula",3,"bio2 bio3 bio6 bio8 bio9 bio13 bio14 bio15 bio18","0.632","0.5"
"Cryptandra pogonoloba",22,"bio1 bio8 bio9 bio15 bio18 bio19","0.539","0.93"
"Cryptandra polyclada",18,"bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.48","0.87"
"Cryptandra propinqua",80,"bio2 bio3 bio8 bio9 bio15 bio18 bio19","0.241","0.93"
"Cryptandra pungens",80,"bio2 bio3 bio6 bio8 bio9 bio13 bio14 bio15 bio18","0.288","0.9"
"Cryptandra recurva",36,"bio2 bio3 bio6 bio8 bio9 bio11 bio13 bio14 bio15 bio18","0.621","0.96"
"Cryptandra sabulicola",29,"bio3 bio4 bio6 bio8 bio9 bio15 bio18 bio19","0.67","0.96"
"Cryptandra scoparia",14,"bio2 bio3 bio6 bio8 bio9 bio14 bio15 bio18 bio19","0.031","0.94"
"Cryptandra setiflora",24,"bio2 bio3 bio4 bio6 bio8 bio9 bio14 bio15 bio18 bio19","0.359","0.95"
"Cryptandra speciosa",42,"bio2 bio3 bio4 bio8 bio9 bio12 bio14 bio15 bio18","0.324","0.94"
"Cryptandra spinescens",22,"bio2 bio3 bio4 bio8 bio9 bio11 bio15 bio18 bio19","0.603","0.88"
"Cryptandra spyridioides",39,"bio2 bio3 bio6 bio8 bio9 bio13 bio14 bio18 bio19","0.355","0.9"
"Cryptandra stellulata",9,"bio2 bio3 bio6 bio8 bio9 bio14 bio15 bio18 bio19","0.429","0.95"
"Cryptandra tomentosa",60,"bio3 bio4 bio6 bio8 bio9 bio15 bio18 bio19","0.494","0.97"
"Cryptandra triplex",6,"bio1 bio2 bio3 bio9 bio13 bio14 bio15 bio18","0.632","0.5"
"Cryptandra wilsonii",41,"bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.44","0.93"
"Papistylus grandiflorus",7,"bio2 bio3 bio6 bio8 bio9 bio14 bio15 bio18 bio19","0.315","0.97"
"Papistylus intropubens",2,NA,NA,"Range estimated from three points or less."
"Polianthion biloculare",3,"bio2 bio3 bio6 bio8 bio9 bio11 bio13 bio14 bio18","0.632","0.5"
"Polianthion collinum",3,"bio2 bio3 bio6 bio8 bio9 bio13 bio14 bio15 bio18","0.632","0.5"
"Polianthion minutiflorum",18,"bio2 bio3 bio8 bio9 bio18 bio19","0.502","0.85"
"Polianthion wichurae",28,"bio2 bio3 bio6 bio8 bio9 bio13 bio14 bio15 bio18","0.387","0.89"
"Pomaderris adnata",3,"bio2 bio3 bio8 bio9 bio11 bio14 bio15 bio18 bio19","0.632","0.5"
"Pomaderris andromedifolia",33,"bio2 bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.435","0.96"
"Pomaderris angustifolia",43,"bio2 bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.3","0.94"
"Pomaderris apetala",55,"bio1 bio2 bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.434","0.96"
"Pomaderris argyrophylla",31,"bio2 bio3 bio8 bio9 bio15 bio18 bio19","0.266","0.96"
"Pomaderris aspera",85,"bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.378","0.93"
"Pomaderris aurea",16,"bio1 bio2 bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.383","0.86"
"Pomaderris betulina",33,"bio2 bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.326","0.98"
"Pomaderris bodalla",4,"bio2 bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.325","0.85"
"Pomaderris brevifolia",12,"bio1 bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.601","0.93"
"Pomaderris briagolensis",3,"bio1 bio2 bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.632","0.5"
"Pomaderris brogoensis",6,"bio2 bio3 bio8 bio9 bio11 bio15 bio18 bio19","0.811","0.97"
"Pomaderris brunnea",13,"bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.65","0.88"
"Pomaderris buchanensis",3,"bio2 bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.632","0.5"
"Pomaderris canescens",19,"bio2 bio3 bio8 bio9 bio15 bio18 bio19","0.238","0.91"
"Pomaderris cinerea",6,"bio2 bio3 bio6 bio8 bio9 bio14 bio15 bio18 bio19","0.799","0.95"
"Pomaderris clivicola",3,"bio2 bio3 bio9 bio13 bio14","0.632","0.5"
"Pomaderris cocoparrana",3,"bio2 bio3 bio6 bio8 bio9 bio14 bio15 bio18 bio19","0.632","0.5"
"Pomaderris coomingalensis",9,"bio2 bio3 bio8 bio9 bio14 bio15 bio18","0.831","0.98"
"Pomaderris costata",13,"bio2 bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.46","0.98"
"Pomaderris cotoneaster",14,"bio2 bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.694","0.94"
"Pomaderris crassifolia",6,"bio2 bio3 bio6 bio8 bio9 bio13 bio15 bio19","0.812","0.99"
"Pomaderris delicata",3,"bio2 bio3 bio6 bio8 bio9 bio14 bio15 bio18 bio19","0.632","0.5"
"Pomaderris discolor",25,"bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.33","0.89"
"Pomaderris edgerleyi",2,NA,NA,"Range estimated from three points or less."
"Pomaderris elachophylla",49,"bio2 bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.478","0.91"
"Pomaderris elliptica",80,"bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.435","0.97"
"Pomaderris eriocephala",37,"bio2 bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.479","0.92"
"Pomaderris ferruginea",63,"bio2 bio3 bio4 bio8 bio9 bio12 bio14 bio15 bio18","0.376","0.96"
"Pomaderris flabellaris",9,"bio3 bio4 bio6 bio8 bio9 bio15 bio18 bio19","0.63","0.99"
"Pomaderris forrestiana",23,"bio2 bio3 bio6 bio8 bio9 bio13 bio14 bio15 bio18","0.255","0.89"
"Pomaderris gilmourii",4,"bio2 bio3 bio8 bio9 bio11 bio14 bio15 bio18 bio19","0.251","0.86"
"Pomaderris graniticola",11,"bio2 bio3 bio4 bio6 bio8 bio9 bio13 bio15 bio19","0.304","0.9"
"Pomaderris halmaturina",17,"bio2 bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.334","0.97"
"Pomaderris hamiltonii",3,"bio2 bio3 bio4 bio8 bio9 bio15 bio19","0.632","0.5"
"Pomaderris helianthemifolia",28,"bio2 bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.503","0.94"
"Pomaderris intermedia",66,"bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.241","0.9"
"Pomaderris kumeraho",5,"bio2 bio3 bio4 bio8 bio9 bio15 bio19","0.648","0.89"
"Pomaderris lanigera",86,"bio2 bio3 bio4 bio8 bio9 bio12 bio14 bio15 bio18","0.454","0.93"
"Pomaderris ledifolia",33,"bio2 bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.19","0.92"
"Pomaderris ligustrina",40,"bio2 bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.489","0.98"
"Pomaderris mediora",3,"bio2 bio3 bio8 bio9 bio11 bio14 bio15 bio18 bio19","0.685","0.99"
"Pomaderris myrtilloides",15,"bio1 bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.828","0.99"
"Pomaderris nitidula",15,"bio2 bio3 bio4 bio6 bio8 bio9 bio14 bio15 bio18","0.703","0.99"
"Pomaderris notata",3,"bio2 bio3 bio6 bio8 bio9 bio13 bio14 bio15","0.999","1"
"Pomaderris obcordata",36,"bio2 bio3 bio4 bio6 bio8 bio9 bio15 bio18 bio19","0.386","0.98"
"Pomaderris oblongifolia",3,"bio2 bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.632","0.5"
"Pomaderris oraria",31,"bio2 bio3 bio4 bio6 bio8 bio9 bio15 bio18 bio19","0.34","0.94"
"Pomaderris pallida",13,"bio2 bio3 bio6 bio8 bio9 bio14 bio15 bio18 bio19","0.73","0.99"
"Pomaderris paniculosa",105,"bio2 bio3 bio4 bio6 bio8 bio9 bio14 bio15 bio18 bio19","0.368","0.95"
"Pomaderris parrisiae",5,"bio2 bio3 bio8 bio9 bio11 bio15 bio18 bio19","0.791","1"
"Pomaderris pauciflora",12,"bio2 bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.644","0.99"
"Pomaderris phylicifolia",54,"bio3 bio4 bio6 bio8 bio9 bio15 bio18 bio19","0.069","0.86"
"Pomaderris pilifera",49,"bio3 bio5 bio6 bio8 bio9 bio15 bio18","0.524","0.92"
"Pomaderris precaria",3,"bio2 bio3 bio4 bio8 bio9 bio11 bio15 bio18 bio19","0.632","0.5"
"Pomaderris prunifolia",55,"bio2 bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.268","0.94"
"Pomaderris queenslandica",44,"bio2 bio3 bio4 bio8 bio9 bio14 bio15 bio18","0.577","0.95"
"Pomaderris racemosa",38,"bio1 bio2 bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.403","0.88"
"Pomaderris reperta",3,"bio2 bio3 bio4 bio8 bio9 bio11 bio15 bio18 bio19","0.632","0.5"
"Pomaderris rotundifolia",6,"bio1 bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.738","1"
"Pomaderris rugosa",3,"bio2 bio3 bio4 bio8 bio9 bio15 bio19","0.632","0.5"
"Pomaderris sericea",2,NA,NA,"Range estimated from three points or less."
"Pomaderris subcapitata",21,"bio2 bio3 bio6 bio8 bio9 bio14 bio15 bio18 bio19","0.409","0.86"
"Pomaderris subplicata",3,"bio3 bio5 bio6 bio8 bio9 bio15 bio18","0.632","0.5"
"Pomaderris tropica",3,"bio2 bio3 bio8 bio9 bio14 bio15 bio18","1","1"
"Pomaderris vacciniifolia",6,"bio1 bio3 bio4 bio6 bio8 bio9 bio15 bio18 bio19","0.615","0.87"
"Pomaderris vellea",9,"bio2 bio3 bio4 bio6 bio8 bio9 bio15 bio18 bio19","0.654","0.93"
"Pomaderris velutina",21,"bio2 bio3 bio6 bio8 bio9 bio14 bio15 bio18 bio19","0.077","0.93"
"Pomaderris virgata",9,"bio2 bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.603","0.91"
"Serichonus gracilipes",3,"bio2 bio3 bio6 bio8 bio9 bio12 bio14 bio15 bio18","0.632","0.5"
"Siegfriedia darwinioides",12,"bio1 bio2 bio3 bio6 bio8 bio9 bio11 bio14 bio18 bio19","0.629","0.89"
"Spyridium bifidum",3,"bio3 bio4 bio6 bio8 bio9 bio13 bio15 bio18","0.994","1"
"Spyridium bracteatum",3,"bio2 bio3 bio6 bio8 bio9 bio11 bio13 bio15 bio18","0.999","1"
"Spyridium burragorang",6,"bio2 bio3 bio6 bio8 bio9 bio14 bio15 bio18 bio19","0.791","0.89"
"Spyridium buxifolium",14,"bio2 bio3 bio4 bio8 bio9 bio11 bio15 bio18 bio19","0.612","0.93"
"Spyridium cinereum",7,"bio2 bio3 bio8 bio9 bio11 bio15 bio18 bio19","0.488","0.76"
"Spyridium coactilifolium",4,"bio2 bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.21","0.87"
"Spyridium coalitum",3,"bio2 bio3 bio6 bio8 bio9 bio10 bio11 bio13 bio15 bio18","0.998","0.99"
"Spyridium cordatum",16,"bio1 bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.357","0.93"
"Spyridium daltonii",3,"bio1 bio3 bio4 bio6 bio8 bio9 bio15 bio18 bio19","0.632","0.5"
"Spyridium Dingo Creek",2,NA,NA,"Range estimated from three points or less."
"Spyridium Dwarf",32,"bio2 bio3 bio4 bio6 bio8 bio9 bio15 bio18 bio19","0.502","0.99"
"Spyridium eriocephalum",32,"bio3 bio4 bio6 bio8 bio9 bio15 bio18 bio19","0.382","0.85"
"Spyridium erymnocladum",3,"bio3 bio4 bio6 bio8 bio9 bio15 bio18 bio19","0.632","0.5"
"Spyridium fontis-woodii",3,"bio2 bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.632","0.5"
"Spyridium furculentum",3,"bio2 bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.632","0.5"
"Spyridium glabrisepalum",3,"bio2 bio3 bio6 bio8 bio9 bio10 bio11 bio13 bio15 bio18","0.98","1"
"Spyridium glaucum",3,"bio1 bio2 bio3 bio6 bio8 bio9 bio11 bio14 bio18 bio19","0.632","0.5"
"Spyridium globulosum",61,"bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.297","0.98"
"Spyridium gunnii",23,"bio1 bio3 bio5 bio6 bio8 bio9 bio15 bio18","0.526","0.89"
"Spyridium halmaturinum",16,"bio2 bio3 bio4 bio6 bio8 bio9 bio15 bio18 bio19","0.455","0.97"
"Spyridium Jerdacuttup",11,"bio1 bio2 bio3 bio6 bio8 bio9 bio11 bio14 bio18 bio19","0.307","0.99"
"Spyridium latifolium",3,"bio2 bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.632","0.5"
"Spyridium lawrencei",6,"bio1 bio3 bio5 bio6 bio8 bio9 bio15 bio18","0.524","0.9"
"Spyridium leucopogon",3,"bio2 bio3 bio4 bio6 bio8 bio9 bio13 bio15 bio18","0.94","0.98"
"Spyridium majoranifolium",21,"bio1 bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.504","0.97"
"Spyridium microcephalum",36,"bio1 bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.462","0.97"
"Spyridium minutum",12,"bio1 bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.052","0.77"
"Spyridium mucronatum",23,"bio1 bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.606","0.97"
"Spyridium nitidum",29,"bio2 bio3 bio4 bio6 bio8 bio9 bio15 bio18 bio19","0.502","0.99"
"Spyridium obcordatum",6,"bio1 bio2 bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.606","0.92"
"Spyridium obovatum",11,"bio1 bio3 bio4 bio5 bio6 bio8 bio9 bio15 bio18","0.44","0.95"
"Spyridium parvifolium",101,"bio3 bio4 bio6 bio8 bio9 bio15 bio18 bio19","0.365","0.92"
"Spyridium phlebophyllum",19,"bio2 bio3 bio4 bio6 bio8 bio9 bio14 bio15 bio18 bio19","0.564","0.97"
"Spyridium phylicoides",34,"bio3 bio4 bio6 bio8 bio9 bio15 bio18 bio19","0.335","0.99"
"Spyridium polycephalum",20,"bio1 bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.507","0.92"
"Spyridium ramosissimum",3,"bio1 bio3 bio4 bio6 bio8 bio9 bio15 bio18 bio19","0.632","0.5"
"Spyridium RedDots",19,"bio3 bio4 bio6 bio8 bio9 bio14 bio15 bio18 bio19","0.418","0.97"
"Spyridium scabridum",3,"bio2 bio3 bio6 bio8 bio9 bio11 bio13 bio15 bio18","1","1"
"Spyridium scortechinii",42,"bio2 bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.364","0.96"
"Spyridium spathulatum",27,"bio2 bio3 bio4 bio6 bio8 bio9 bio15 bio18 bio19","0.159","0.97"
"Spyridium stenophyllum",27,"bio2 bio3 bio4 bio6 bio8 bio9 bio15 bio18 bio19","0.536","0.97"
"Spyridium subochreatum",43,"bio3 bio4 bio6 bio8 bio9 bio15 bio18 bio19","0.313","0.9"
"Spyridium thymifolium",9,"bio2 bio3 bio6 bio8 bio9 bio15 bio18 bio19","0.653","1"
"Spyridium tricolor",13,"bio2 bio3 bio6 bio8 bio9 bio13 bio14 bio15 bio18","0.575","0.95"
"Spyridium ulicinum",9,"bio1 bio3 bio4 bio5 bio6 bio8 bio9 bio15 bio18","0.09","0.7"
"Spyridium undulifolium",1,NA,NA,"Range estimated from three points or less."
"Spyridium vexilliferum",70,"bio3 bio4 bio6 bio8 bio9 bio15 bio18 bio19","0.462","0.89"
"Spyridium waterhousei",6,"bio2 bio3 bio6 bio8 bio9 bio10 bio11 bio13 bio15 bio18","0.307","1"
"Spyridium Wollar",3,"bio2 bio3 bio4 bio8 bio9 bio11 bio15 bio18 bio19","0.632","0.5"
"Stenanthemum arens",3,"bio3 bio4 bio6 bio8 bio9 bio14 bio15 bio18 bio19","0.632","0.5"
"Stenanthemum argenteum",6,"bio1 bio2 bio3 bio8 bio9 bio14 bio15 bio18","0.757","0.98"
"Stenanthemum bilobum",1,NA,NA,"Range estimated from three points or less."
"Stenanthemum bremerense",6,"bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.094","0.93"
"Stenanthemum centrale",14,"bio2 bio3 bio5 bio7 bio8 bio9 bio12 bio14 bio19","0.87","1"
"Stenanthemum complicatum",24,"bio2 bio3 bio8 bio9 bio13 bio14 bio15 bio18 bio19","0.14","0.92"
"Stenanthemum coronatum",9,"bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.695","1"
"Stenanthemum cristatum",3,"bio2 bio3 bio6 bio8 bio9 bio11 bio14 bio18 bio19","0.632","0.5"
"Stenanthemum divaricatum",12,"bio2 bio3 bio7 bio8 bio9 bio13 bio14 bio18 bio19","0.625","0.99"
"Stenanthemum emarginatum",24,"bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.169","0.94"
"Stenanthemum humile",9,"bio2 bio3 bio6 bio8 bio9 bio13 bio14 bio15 bio18","0.567","1"
"Stenanthemum intricatum",29,"bio2 bio3 bio6 bio8 bio9 bio13 bio14 bio15 bio18","0.592","0.94"
"Stenanthemum leucophractum",102,"bio2 bio3 bio4 bio6 bio8 bio9 bio14 bio15 bio18 bio19","0.502","0.94"
"Stenanthemum liberum",3,"bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.632","0.5"
"Stenanthemum limitatum",4,"bio2 bio3 bio6 bio8 bio9 bio11 bio13 bio14 bio15 bio18","0.468","1"
"Stenanthemum mediale",13,"bio2 bio3 bio6 bio8 bio9 bio13 bio14 bio18 bio19","0.615","0.93"
"Stenanthemum nanum",6,"bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.641","1"
"Stenanthemum newbeyi",4,"bio2 bio3 bio6 bio8 bio9 bio14 bio15 bio18 bio19","0.201","0.98"
"Stenanthemum notiale",88,"bio2 bio3 bio4 bio6 bio8 bio9 bio13 bio14 bio15 bio18 bio19","0.388","0.96"
"Stenanthemum patens",8,"bio2 bio3 bio6 bio8 bio9 bio13 bio14 bio18 bio19","0.121","0.95"
"Stenanthemum petraeum",60,"bio2 bio3 bio8 bio9 bio12 bio14 bio15 bio19","0.402","0.9"
"Stenanthemum pimeleoides",6,"bio1 bio3 bio4 bio5 bio6 bio8 bio9 bio15 bio18","0.78","0.98"
"Stenanthemum poicilum",7,"bio2 bio3 bio6 bio8 bio9 bio13 bio14 bio15 bio18","0.497","0.99"
"Stenanthemum pomaderroides",22,"bio2 bio3 bio6 bio8 bio9 bio13 bio14 bio18","0.582","0.95"
"Stenanthemum pumilum",9,"bio2 bio3 bio6 bio8 bio9 bio11 bio13 bio14 bio18","0.29","0.96"
"Stenanthemum radiatum",3,"bio2 bio3 bio6 bio8 bio9 bio12 bio14 bio15 bio18","0.632","0.5"
"Stenanthemum reissekii",4,"bio2 bio3 bio6 bio8 bio9 bio11 bio13 bio14 bio15 bio18","0.546","0.98"
"Stenanthemum stipulosum",36,"bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.448","0.95"
"Stenanthemum sublineare",8,"bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.361","0.96"
"Stenanthemum tridentatum",33,"bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.359","0.94"
"Stenanthemum yorkense",3,"bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.632","0.5"
"Trymalium angustifolium",19,"bio2 bio3 bio6 bio8 bio9 bio11 bio13 bio14 bio15 bio18","0.559","0.98"
"Trymalium daltoni",1,NA,NA,"Range estimated from three points or less."
"Trymalium daphnifolium",36,"bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.258","0.94"
"Trymalium densiflorum",1,NA,NA,"Range estimated from three points or less."
"Trymalium elachophyllum",18,"bio1 bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.694","0.96"
"Trymalium ledifolium",49,"bio2 bio3 bio6 bio8 bio9 bio14 bio15 bio18 bio19","0.271","0.93"
"Trymalium litorale",3,"bio2 bio3 bio6 bio8 bio9 bio10 bio11 bio18 bio19","0.672","0.96"
"Trymalium monospermum",3,"bio2 bio3 bio6 bio8 bio9 bio11 bio13 bio14 bio18","0.632","0.5"
"Trymalium myrtillus",55,"bio2 bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.396","0.98"
"Trymalium odoratissimum",38,"bio2 bio3 bio6 bio8 bio9 bio14 bio15 bio18 bio19","0.493","0.98"
"Trymalium spatulatum",12,"bio2 bio3 bio8 bio9 bio13 bio14 bio15 bio18 bio19","0.854","0.99"
"Trymalium urceolare",6,"bio3 bio6 bio8 bio9 bio11 bio12 bio14 bio15 bio18","0.598","0.98"
"Trymalium venustum",6,"bio2 bio3 bio6 bio8 bio9 bio11 bio18 bio19","0.029","0.83"
"Trymalium wayi",23,"bio2 bio3 bio4 bio6 bio8 bio9 bio15 bio18 bio19","0.438","0.96"
